x,y,Record_ID,Name,Address,Additonal_Address,City,State,ZIP,Zip4,County,Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
-9395853.493,3993450.95880215,1621623,Community Kitchen N Pantry,490 Ralph David Abernathy Blvd SW,Unit D,Atlanta,GA,30312,    ,FULTON,Convenience Store,33.73632,-84.404388,,,28
-9400803.314,3957814.02830832,1628129,Papa Murphy's Take And Bake GA019,202 Banks Xing,,Fayetteville,GA,30214,7309,FAYETTE,Grocery Store,33.469685,-84.448853,,,156
-9385684.903,4009699.8557539,1632781,Ez Market,3892 Buford Hwy NE,,Brookhaven,GA,30329,1004,DEKALB,Convenience Store,33.85762,-84.313042,,,163
-9371365.654,3990088.98478733,1643646,Chevron Foodmart 402,5041 Snapfinger Woods Dr,,Decatur,GA,30035,4019,DEKALB,Convenience Store,33.711201,-84.18441,,,177
-9389956.899,4004411.01108481,1630104,AAA 2317 Inc,2319 Cheshire Bridge Rd NE,,Atlanta,GA,30324,4236,FULTON,Convenience Store,33.818157,-84.351418,,,239
-9357773.433,3986282.90602261,1632460,Circle K Sigman,2300 Sigman Rd SW,,Conyers,GA,30012,3453,ROCKDALE,Convenience Store,33.682755,-84.062309,,,393
-9393127.279,3995867.6802066,290555,D & J Market,209 Edgewood Ave SE,Suite 121,Atlanta,GA,30303,3012,FULTON,Specialty Store,33.754372,-84.379898,,,594
-9380656.156,3989562.13849521,1632774,Cato Convenience & Variety Store,2981 S Rainbow Dr,,Decatur,GA,30034,1614,DEKALB,Convenience Store,33.707264,-84.267868,,,595
-9396322.371,3994179.18824148,1624820,Whitehall Exxon,634 Whitehall St SW,,Atlanta,GA,30310,1922,FULTON,Convenience Store,33.74176,-84.4086,,,881
-9402933.301,3983831.55170061,1634181,Fresh Market At Oyun Botanical Gardens,3353 Washington Rd,,Atlanta,GA,30344,5650,FULTON,Farmers and Markets,33.664429,-84.467987,,,981
-9409689.504,4002811.28919783,1631764,Shell Food Mart,873 Veterans Memorial Hwy SE,,Mableton,GA,30126,2733,COBB,Convenience Store,33.806217,-84.528679,,,1070
-9348911.065,4020576.7185607,1635430,DOLLARTREE 9860,455 Grayson Highway,Suite 121,Lawrenceville,GA,30046,7171,GWINNETT,Other,33.938721,-83.982697,,,1112
-9380042.118,4005025.9049762,1628985,Aaa Lucky Mart,2605 Lawrenceville Hwy,,Decatur,GA,30033,2502,DEKALB,Convenience Store,33.822746,-84.262352,,,1114
-9418292.051,3999337.1512707,1635443,DOLLARTREE 10243,900 Thornton Rd,Ste E,Lithia Springs,GA,30122,2641,DOUGLAS,Other,33.780281,-84.605957,,,1119
-9378809.811,4021369.07213627,1628408,Express Supermercado,3330 Peachtree Corner Circle,Ste G,Peachtree Corners,GA,30092,    ,GWINNETT,Grocery Store,33.944626,-84.251282,,,1243
-9392885.27,3973492.1435955,1632153,Circle K 113 113,6142 Old Dixie Hwy,,Forest Park,GA,30297,3261,CLAYTON,Convenience Store,33.58709,-84.377724,,,1281
-9389888.883,3977815.06601393,1632663,A One Store,4962 Jonesboro Rd,,Forest Park,GA,30297,3535,CLAYTON,Convenience Store,33.619434,-84.350807,,,1282
-9393194.404,3976089.52511374,1628576,Family Groceries,5428 Old Dixie Hwy,,Forest Park,GA,30297,2617,CLAYTON,Convenience Store,33.606525,-84.380501,,,1283
-9414877.883,3965708.71490094,1624226,Chevron Food Mart,8390 Senoia Rd,Ste B,Fairburn,GA,30213,4700,FULTON,Convenience Store,33.528824,-84.575287,,,1363
-9372899.525,4000157.23475475,1636100,Hbm Food Mart,4779 Rockbridge Rd,Ste C,Stone Mountain,GA,30083,4248,DEKALB,Convenience Store,33.786404,-84.198189,,,1396
-9370867.165,4004075.23854656,1634975,5960 Enterprise LLC,5960 E Ponce de Leon Ave,Ste C,Stone Mountain,GA,30083,1602,DEKALB,Convenience Store,33.815651,-84.179932,,,1397
-9368162.992,4016288.22813727,1632331,Exxon Food Mart,930 Indian Trail Lilburn Rd NW,,Lilburn,GA,30047,6867,GWINNETT,Convenience Store,33.906754,-84.15564,,,1487
-9383399.402,3998231.07567218,1632502,Kelly's Market,308 E Howard Ave,,Decatur,GA,30030,3401,DEKALB,Convenience Store,33.772022,-84.292511,,,1513
-9416165.404,4040681.5321369,954359,Supermercado La Villa,6158 HWY 92,,ACWORTH,GA,30102,    ,CHEROKEE,Grocery Store,34.088425,-84.586853,,,1837
-9386794.869,3953891.85092559,1632336,Market At Lovejoy Amoco,2105 Lovejoy Rd,,Hampton,GA,30228,3864,CLAYTON,Convenience Store,33.440289,-84.323013,,,1859
-9409683.492,4022264.94739479,1631010,El Quetzal Supermercados,809 Roswell St NE,,Marietta,GA,30060,2136,COBB,Grocery Store,33.951302,-84.528625,,,2007
